18,25,7,10
346,216,125,114
152,116,58,34
151,106,37,14
159,115,127,88
272,205,108,74
841,668,313,200
317,226,211,148
2083,1667,1057,655
695,595,209,145
24,15,15,9
243,159,103,57
82,56,41,24
1947,1371,687,447
365,240,202,123
103,79,46,40
82,68,48,30
235,134,142,61
269,170,95,62
12,6,15,8
41,35,34,12
92,81,36,20
78,64,47,25
7,0,4,0
18,7,3,6
40,35,29,17
646,476,248,188
59,40,18,16
48,37,8,9
21,16,18,15
391,326,132,84
9,3,3,1
6,3,0,1
11,10,2,1
13,2,10,4
32,22,8,16
147,93,67,56
433,341,191,129
46,33,24,18
328,249,120,74
0,0,1,1
10,2,3,1
1,4,11,5
6,9,3,1
33,12,11,5
408,290,159,112
27,19,23,17
461,390,159,128
18,9,2,7
7,4,4,3
1,0,1,1
21,10,9,8
30,14,16,14
17,11,2,4
8,4,6,5
29,13,6,4
3,3,6,1
163,136,56,51
17,13,3,2
24,9,4,2
154,113,79,51
123,119,70,54
317,263,77,44
1,0,2,2
63,52,19,11
18,12,5,3
125,111,77,39
103,82,27,25
3,0,13,5
18,18,15,11
143,87,46,25
4,2,3,1
40,23,5,5
0,0,2,0
6,0,8,6
172,148,63,32
14,8,14,6
2,0,0,3
0,0,0,3
16,13,11,1
4,2,7,2
5,3,9,7
15,13,0,6
0,0,1,0
0,0,2,3
15,5,11,5
5,3,4,6
5,7,3,8
4,6,4,0
10,2,1,3
