Date,DayNum,Precp,Time,T
2014-12-09,343,7.25,16.6,15
2014-12-10,344,0.0,0.0,0
2014-12-11,345,0.65,11.5,13
2014-12-12,346,2.5,12.6,10
2014-12-13,347,0.0,0.0,0
2014-12-14,348,0.0,0.0,0
2014-12-15,349,0.0,0.0,0
2014-12-16,350,0.45,3.8,3
2014-12-17,351,0.0,0.0,0
2014-12-18,352,0.0,0.0,0
2014-12-19,353,2.05,10.8,11
2014-12-20,354,0.0,0.0,0
2014-12-21,355,2.05,2.3,1
2014-12-22,356,0.0,0.0,0
2014-12-23,357,0.0,0.0,0
2014-12-24,358,0.0,0.0,0
2014-12-25,359,5.2,9.2,4
2014-12-26,360,0.8,4.3,6
2014-12-27,361,17.3,18.5,6
2014-12-28,362,5.7,20.0,14
2014-12-29,363,0.0,0.0,0
2014-12-30,364,0.0,0.0,0
2014-12-31,365,0.0,0.0,0
